Date,BFSI
Jul-04,-0.857
Jul-04,-0.858
Jul-04,-0.856
Jul-04,-0.854
Jul-04,-0.852
Jul-04,-0.851
Aug-04,-0.85
Aug-04,-0.85
Aug-04,-0.851
Aug-04,-0.852
Aug-04,-0.851
Aug-04,-0.851
Aug-04,-0.851
Aug-04,-0.85
Aug-04,-0.85
Aug-04,-0.851
Aug-04,-0.853
Aug-04,-0.854
Aug-04,-0.856
Aug-04,-0.859
Aug-04,-0.864
Aug-04,-0.87
Aug-04,-0.878
Aug-04,-0.887
Aug-04,-0.895
Aug-04,-0.902
Aug-04,-0.908
Aug-04,-0.913
Sep-04,-0.917
Sep-04,-0.92
Sep-04,-0.924
Sep-04,-0.929
Sep-04,-0.933
Sep-04,-0.937
Sep-04,-0.941
Sep-04,-0.942
Sep-04,-0.942
Sep-04,-0.942
Sep-04,-0.942
Sep-04,-0.942
Sep-04,-0.944
Sep-04,-0.946
Sep-04,-0.949
Sep-04,-0.954
Sep-04,-0.96
Sep-04,-0.965
Sep-04,-0.969
Sep-04,-0.972
Sep-04,-0.972
Sep-04,-0.969
Oct-04,-0.961
Oct-04,-0.952
Oct-04,-0.941
Oct-04,-0.929
Oct-04,-0.919
Oct-04,-0.911
Oct-04,-0.905
Oct-04,-0.901
Oct-04,-0.898
Oct-04,-0.897
Oct-04,-0.897
Oct-04,-0.9
Oct-04,-0.905
Oct-04,-0.911
Oct-04,-0.919
Oct-04,-0.927
Oct-04,-0.934
Oct-04,-0.94
Oct-04,-0.945
Oct-04,-0.947
Oct-04,-0.947
Nov-04,-0.947
Nov-04,-0.946
Nov-04,-0.945
Nov-04,-0.945
Nov-04,-0.949
Nov-04,-0.954
Nov-04,-0.962
Nov-04,-0.971
Nov-04,-0.98
Nov-04,-0.987
Nov-04,-0.992
Nov-04,-0.997
Nov-04,-1.001
Nov-04,-1.005
Nov-04,-1.009
Nov-04,-1.014
Nov-04,-1.017
Nov-04,-1.019
Nov-04,-1.021
Nov-04,-1.022
Nov-04,-1.021
Nov-04,-1.018
Dec-04,-1.013
Dec-04,-1.005
Dec-04,-0.995
Dec-04,-0.984
Dec-04,-0.976
Dec-04,-0.971
Dec-04,-0.97
Dec-04,-0.972
Dec-04,-0.974
Dec-04,-0.976
Dec-04,-0.977
Dec-04,-0.977
Dec-04,-0.976
Dec-04,-0.975
Dec-04,-0.974
Dec-04,-0.972
Dec-04,-0.971
Dec-04,-0.97
Dec-04,-0.966
Dec-04,-0.961
Dec-04,-0.956
Dec-04,-0.952
Dec-04,-0.948
Jan-05,-0.946
Jan-05,-0.947
Jan-05,-0.949
Jan-05,-0.951
Jan-05,-0.954
Jan-05,-0.957
Jan-05,-0.958
Jan-05,-0.957
Jan-05,-0.957
Jan-05,-0.956
Jan-05,-0.955
Jan-05,-0.955
Jan-05,-0.956
Jan-05,-0.955
